# genre,mood,artist,track
Pop,Happy,Taylor Swift,Shake It Off
Pop,Chill,Billie Eilish,Ocean Eyes
Pop,Romantic,Ed Sheeran,Perfect
Pop,Party,Dua Lipa,Levitating
Pop,Sad,Adele,Hello
Pop,Happy,Harry Styles,As It Was
Pop,Party,Bruno Mars,Uptown Funk
Pop,Chill,Selena Gomez,Lose You to Love Me
Pop,Party,Rihanna,We Found Love
Pop,Chill,Olivia Rodrigo,drivers license
Pop,Focus,Lorde,Royals
Pop,Workout,Katy Perry,Roar
Pop,Happy,Pharrell Williams,Happy
Pop,Party,The Weeknd,Blinding Lights
Pop,Chill,Lana Del Rey,Video Games
Pop,Romantic,James Arthur,Say You Won't Let Go
Pop,Focus,Sia,Chandelier
Pop,Workout,Pitbull,Timber
Pop,Energetic,Imagine Dragons,Believer
Pop,Happy,Carly Rae Jepsen,Call Me Maybe

Rock,Happy,Queen,Don't Stop Me Now
Rock,Chill,Coldplay,Yellow
Rock,Chill,Linkin Park,Numb
Rock,Energetic,Nirvana,Smells Like Teen Spirit
Rock,Workout,Foo Fighters,The Pretender
Rock,Focus,Muse,Uprising
Rock,Party,The Killers,Mr. Brightside
Rock,Chill,Red Hot Chili Peppers,Californication
Rock,Happy,Bon Jovi,It's My Life
Rock,Focus,Radiohead,Karma Police
Rock,Workout,AC/DC,Back In Black
Rock,Energetic,Metallica,Enter Sandman
Rock,Chill,Oasis,Wonderwall
Rock,Romantic,John Lennon,Imagine
Rock,Party,Arctic Monkeys,Fluorescent Adolescent
Rock,Chill,The Cranberries,Zombie
Rock,Focus,Dire Straits,Sultans of Swing
Rock,Happy,The Beatles,Here Comes the Sun
Rock,Workout,Linkin Park,Bleed It Out
Rock,Party,Jet,Are You Gonna Be My Girl

Hip-Hop,Party,Drake,God's Plan
Hip-Hop,Workout,Eminem,Lose Yourself
Hip-Hop,Party,Travis Scott,SICKO MODE
Hip-Hop,Chill,Post Malone,Circles
Hip-Hop,Energetic,Kendrick Lamar,HUMBLE.
Hip-Hop,Chill,Childish Gambino,Redbone
Hip-Hop,Workout,Kanye West,Stronger
Hip-Hop,Happy,Lizzo,Good as Hell
Hip-Hop,Party,Cardi B,I Like It
Hip-Hop,Focus,J. Cole,No Role Modelz
Hip-Hop,Energetic,Run-DMC,Walk This Way
Hip-Hop,Workout,Macklemore,Can’t Hold Us
Hip-Hop,Chill,Tyler, The Creator,See You Again
Hip-Hop,Happy,Outkast,Hey Ya!
Hip-Hop,Focus,Lupe Fiasco,The Show Goes On
Hip-Hop,Party,Nicki Minaj,Super Bass
Hip-Hop,Chill,A Tribe Called Quest,Can I Kick It?
Hip-Hop,Workout,Missy Elliott,Work It
Hip-Hop,Energetic,DMX,Party Up
Hip-Hop,Chill,The Notorious B.I.G.,Juicy

R&B,Party,Rihanna,Work
R&B,Romantic,The Weeknd,Earned It
R&B,Chill,SZA,Snooze
R&B,Party,Bruno Mars,That's What I Like
R&B,Chill,Khalid,Location
R&B,Romantic,Alicia Keys,If I Ain't Got You
R&B,Happy,Beyoncé,Love On Top
R&B,Chill,Frank Ocean,Thinkin Bout You
R&B,Focus,Usher,Yeah!
R&B,Romantic,John Legend,All of Me
R&B,Chill,Daniel Caesar,Best Part
R&B,Happy,Mary J. Blige,Family Affair
R&B,Party,Chris Brown,Forever
R&B,Chill,H.E.R.,Focus
R&B,Romantic,Toni Braxton,Un-Break My Heart
R&B,Party,Ne-Yo,Closer
R&B,Chill,Kehlani,Nights Like This
R&B,Focus,The Weeknd,Die For You
R&B,Happy,Pharrell Williams,Freedom
R&B,Chill,Solange,Cranes in the Sky

Electronic,Party,Calvin Harris,Summer
Electronic,Party,David Guetta,Titanium
Electronic,Workout,Avicii,Levels
Electronic,Chill,Deadmau5,Strobe
Electronic,Party,Marshmello,Happier
Electronic,Focus,ODESZA,A Moment Apart
Electronic,Workout,Swedish House Mafia,Don't You Worry Child
Electronic,Chill,Kygo,Firestone
Electronic,Party,Martin Garrix,Animals
Electronic,Happy,Zedd,Clarity
Electronic,Focus,Daft Punk,Get Lucky
Electronic,Chill,Porter Robinson,Sea of Voices
